time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,steps,time_VF,VF_error_before,VF_error_after,eval_score
8.308293581008911,12.776256819017714,4.192323083955515,22.078930187103452,-3.239197189046243,0.6615272303452439,0.02,0.21105051040649414,5.065136194229126,0.008457532,0.023646004,12.776256819017714,5009,18.297592878341675,1.0075191409170026,0.32071213604148324,12.980547117575906
6.195518493652344,13.643733539855269,3.967578917539587,22.804677943429052,-2.4120183188900115,0.668348774692817,0.02,0.12138199806213379,3.685720920562744,0.008749029,0.02396419,12.86300449110147,10019,17.476483821868896,0.31035283843376865,0.16673365252154326,14.60511124436356
8.504335880279541,14.767017001827044,3.4948403518153714,26.19060475643011,0.2813971128037096,0.559114637951228,0.02,0.17380762100219727,4.271161317825317,0.008367968,0.028684556,13.053405742174029,15034,16.292774438858032,0.11193956100686663,0.09058532690669695,15.728941236782145
7.300191879272461,15.500895663294287,3.3766875816615247,27.322962385794234,4.184573400107011,0.4832690520720471,0.02,0.13071751594543457,4.792483568191528,0.00848788,0.032632936,13.298154734286056,20038,17.03549075126648,0.07863304423559418,0.06364783064912996,16.315800909986677
7.675265312194824,16.668865585339557,3.3040671040840657,31.188285622391223,2.900896410023684,0.4692250475255158,0.02,0.19522356986999512,3.5530214309692383,0.008653217,0.0340098,13.635225819391408,25038,16.868850708007812,0.05616627684658629,0.0509755226032032,16.495270100960866
9.007232904434204,17.588500353483767,3.6450952045271428,30.801237264263087,5.486799522925086,0.4395300186148782,0.02,0.19581341743469238,3.3767004013061523,0.008543182,0.036088735,14.030553272800645,30047,15.03356409072876,0.056684039535460855,0.05535956810335707,19.010220845429735
8.101908445358276,18.89918504524416,4.0062460368187125,42.98912128815375,10.493145868813627,0.43928833144256363,0.02,0.23732995986938477,3.2018966674804688,0.00827872,0.035879426,14.517416450044998,35053,16.380860805511475,0.06515468501675645,0.06225340118615176,19.44181277329026
8.130282640457153,20.347168099514697,5.1237501740383795,50.73392619613671,4.5308415315463515,0.4923382623617427,0.02,0.1275930404663086,4.052770137786865,0.0085819345,0.032428503,15.100391614991967,40066,15.492014646530151,0.07946814286517416,0.06406577667633409,20.14480620652204
8.32356595993042,21.65765041326023,5.791465907443299,47.69898356877314,6.883138164855446,0.6329327254863076,0.02,0.23592114448547363,4.766906976699829,0.009911014,0.03007366,15.756117494818794,45090,15.978999614715576,0.11570618602097887,0.09190182553137051,23.03716769090769
6.670703172683716,24.640273523915738,7.443013678262025,51.64578944106202,3.6031308080891917,0.646620269655299,0.02,0.09192633628845215,3.942032814025879,0.00863803,0.024078585,16.644533097728488,50112,14.898295879364014,0.1525880614421088,0.1203799178920779,25.80581141701746
8.6511070728302,28.554260465952915,9.816302708453328,58.186085236124555,10.20535131648772,0.6404821040454686,0.02,0.23159480094909668,4.0722784996032715,0.008799491,0.025302483,17.83550583455093,55134,14.723020315170288,0.15122352731395375,0.12071972309388938,32.27153341393163
7.237910747528076,33.113781535024906,11.12457365366759,81.86178713902756,16.131121050916366,0.7529033205443499,0.02,0.2889273166656494,5.3705291748046875,0.008824785,0.022122625,19.36333340459833,60153,17.6715669631958,0.12997271981194222,0.11677714581854022,34.1305524983061
6.96075963973999,35.175642495965,10.987042138871105,69.24806692608878,13.132130720712228,0.6057145336443591,0.02,0.20681977272033691,4.0287322998046875,0.008950534,0.026671717,20.944564313734997,65176,19.160651922225952,0.0999153627468116,0.0892809001607776,46.90262531352877
8.289303302764893,42.60757542999004,11.867643956202818,69.1568984740847,15.039776371175032,0.7345102880919897,0.02,0.18124771118164062,3.9600210189819336,0.008733918,0.022103729,23.110865425360505,70219,16.88270330429077,0.08945518582687517,0.06931886716309169,48.4573929314842
7.04396390914917,47.96767812560116,11.951940232288134,87.62118645160203,19.732475566437714,0.6597519835811466,0.02,0.230743408203125,4.854283332824707,0.008927889,0.024705632,25.59654669538457,75222,17.532109260559082,0.06338704852043872,0.04892586983420485,59.07797957593412
6.724662780761719,53.44593018238466,13.753887257982337,93.14464546473033,12.67636023692293,0.6917491968271192,0.02,0.12316727638244629,4.829389333724976,0.009277467,0.024042532,28.38148504408458,80235,18.066871643066406,0.061930213996323966,0.05059270384500173,58.46383240674751
6.411545515060425,56.19504402855567,11.887916614923437,91.11365942546028,20.087447428152622,0.743979901252455,0.02,0.2301945686340332,3.469564199447632,0.008697187,0.020683143,31.16284094253169,85250,18.26848840713501,0.06158149328020007,0.04496023501185411,69.10867704140256
6.610183000564575,60.680403170168496,16.504990303312987,103.16231055416604,17.89725440680067,0.7930178944296169,0.02,0.17650270462036133,3.7576136589050293,0.008388377,0.019637788,34.11459716529537,90272,17.72044038772583,0.07975364014869336,0.06740983662325851,62.726482062957004
8.034615755081177,62.459218483036196,12.155524095939308,96.94413641478604,28.704557711884778,0.9940179752496333,0.02,0.18716883659362793,3.9177327156066895,0.008960699,0.015695272,36.949059297069454,95306,17.092564582824707,0.05504594237421163,0.04884698906325477,71.21128346555861
9.000465869903564,65.79422537302513,12.769389765813767,102.42075155913012,33.479154367510866,0.8104199861830735,0.02,0.2035079002380371,3.5732522010803223,0.008747334,0.019505119,39.833575904665025,100343,16.538269519805908,0.03802451179168104,0.026862492350904172,75.37370479254704
7.524250030517578,70.16624667239333,13.311650132899404,103.6566232730929,39.34472715334012,0.9442401877733954,0.02,0.23859858512878418,4.229132652282715,0.008621669,0.017413866,42.866842981437856,105366,17.249853134155273,0.041336882568003865,0.034398937964887244,80.40612343502035
